start,start_time,end,end_time
Trelleborg,2023-07-01 08:55:23,Travemunde,2023-07-01 17:08:11
Travemunde,2023-07-01 20:03:34,Trelleborg,2023-07-02 07:15:23
Trelleborg,2023-07-02 09:00:41,Travemunde,2023-07-02 17:06:58
Travemunde,2023-07-02 19:32:21,Trelleborg,2023-07-03 05:09:00
Trelleborg,2023-07-03 08:04:38,Travemunde,2023-07-03 17:21:03
Travemunde,2023-07-03 20:01:37,Trelleborg,2023-07-04 04:58:01
Trelleborg,2023-07-04 08:13:32,Rostock,2023-07-04 13:19:22
Rostock,2023-07-04 14:44:34,Travemunde,2023-07-04 18:05:12
Travemunde,2023-07-04 20:05:33,Trelleborg,2023-07-05 05:02:09
Trelleborg,2023-07-05 08:02:41,Rostock,2023-07-05 13:13:35
Rostock,2023-07-05 14:33:48,Travemunde,2023-07-05 18:24:30
Travemunde,2023-07-05 20:39:58,Trelleborg,2023-07-06 06:21:37
Trelleborg,2023-07-06 08:46:57,Travemunde,2023-07-06 17:13:45
Travemunde,2023-07-06 20:04:17,Trelleborg,2023-07-07 05:26:09
Trelleborg,2023-07-07 08:31:37,Travemunde,2023-07-07 16:53:15
Travemunde,2023-07-07 19:28:36,Trelleborg,2023-07-08 04:45:12
Trelleborg,2023-07-08 09:41:05,Travemunde,2023-07-08 16:37:31
Travemunde,2023-07-08 19:58:15,Trelleborg,2023-07-09 05:59:52
Trelleborg,2023-07-09 09:05:22,Travemunde,2023-07-09 17:06:54
Travemunde,2023-07-09 19:32:25,Trelleborg,2023-07-10 05:19:01
Trelleborg,2023-07-10 07:51:39,Travemunde,2023-07-10 17:21:13
Travemunde,2023-07-10 19:56:38,Trelleborg,2023-07-11 04:58:01
Trelleborg,2023-07-11 07:58:29,Rostock,2023-07-11 13:24:33
Rostock,2023-07-11 14:29:39,Travemunde,2023-07-11 18:10:27
Travemunde,2023-07-11 20:00:49,Trelleborg,2023-07-12 04:52:30
Trelleborg,2023-07-12 08:18:11,Rostock,2023-07-12 13:19:03
Rostock,2023-07-12 14:19:21,Travemunde,2023-07-12 18:09:51
Travemunde,2023-07-12 20:05:15,Trelleborg,2023-07-13 05:26:53
Trelleborg,2023-07-13 08:32:29,Travemunde,2023-07-13 17:04:03
Travemunde,2023-07-13 20:04:25,Trelleborg,2023-07-14 05:21:04
Trelleborg,2023-07-14 08:31:38,Travemunde,2023-07-14 16:53:22
Travemunde,2023-07-14 19:33:52,Trelleborg,2023-07-15 05:15:23
Trelleborg,2023-07-15 08:30:56,Travemunde,2023-07-15 16:41:36
Travemunde,2023-07-15 20:10:44,Trelleborg,2023-07-16 04:43:59
Trelleborg,2023-07-16 09:04:59,Travemunde,2023-07-16 17:05:02
Travemunde,2023-07-16 19:31:25,Trelleborg,2023-07-17 05:22:53
Trelleborg,2023-07-17 07:28:19,Travemunde,2023-07-17 16:24:59
Travemunde,2023-07-17 19:55:26,Trelleborg,2023-07-18 05:36:49
Trelleborg,2023-07-18 07:27:09,Travemunde,2023-07-18 16:49:01
Travemunde,2023-07-18 19:54:28,Trelleborg,2023-07-19 05:15:54
Trelleborg,2023-07-19 07:36:28,Travemunde,2023-07-19 16:22:58
Travemunde,2023-07-19 20:03:37,Trelleborg,2023-07-20 05:30:17
Trelleborg,2023-07-20 08:30:54,Travemunde,2023-07-20 17:12:39
Travemunde,2023-07-20 19:58:07,Trelleborg,2023-07-21 05:14:39
Trelleborg,2023-07-21 08:35:21,Travemunde,2023-07-21 16:36:47
Travemunde,2023-07-21 20:12:16,Trelleborg,2023-07-22 05:23:53
Trelleborg,2023-07-22 08:59:32,Travemunde,2023-07-22 16:50:58
Travemunde,2023-07-22 20:06:38,Trelleborg,2023-07-23 05:52:53
Trelleborg,2023-07-23 09:08:42,Travemunde,2023-07-23 17:05:09
Travemunde,2023-07-23 20:00:37,Trelleborg,2023-07-24 05:27:16
Trelleborg,2023-07-24 08:32:50,Travemunde,2023-07-24 16:49:24
Travemunde,2023-07-24 19:55:03,Trelleborg,2023-07-25 05:36:56
Trelleborg,2023-07-25 08:02:20,Travemunde,2023-07-25 16:48:56
Travemunde,2023-07-25 20:24:40,Trelleborg,2023-07-26 04:45:49
Trelleborg,2023-07-26 09:26:52,Travemunde,2023-07-26 16:53:20
Travemunde,2023-07-26 19:58:45,Trelleborg,2023-07-27 05:30:20
Trelleborg,2023-07-27 08:30:52,Travemunde,2023-07-27 16:47:33
Travemunde,2023-07-27 20:07:58,Trelleborg,2023-07-28 05:34:39
Trelleborg,2023-07-28 08:35:18,Travemunde,2023-07-28 16:36:47
Travemunde,2023-07-28 20:37:40,Trelleborg,2023-07-29 05:34:03
Trelleborg,2023-07-29 09:04:42,Travemunde,2023-07-29 16:41:01
Travemunde,2023-07-29 20:01:37,Trelleborg,2023-07-30 05:58:21
Trelleborg,2023-07-30 09:08:59,Travemunde,2023-07-30 16:40:30
Travemunde,2023-07-30 20:01:04,Trelleborg,2023-07-31 05:27:23
Trelleborg,2023-07-31 08:02:52,Travemunde,2023-07-31 16:59:28
Travemunde,2023-07-31 19:50:01,Trelleborg,2023-08-01 05:36:44
Trelleborg,2023-08-01 08:02:08,Travemunde,2023-08-01 16:53:43
Travemunde,2023-08-01 20:04:19,Trelleborg,2023-08-02 05:25:54
Trelleborg,2023-08-02 08:06:27,Travemunde,2023-08-02 16:52:52
Travemunde,2023-08-02 19:58:26,Trelleborg,2023-08-03 05:30:06
Trelleborg,2023-08-03 09:05:44,Travemunde,2023-08-03 17:01:59
Travemunde,2023-08-03 20:07:24,Trelleborg,2023-08-04 05:28:45
Trelleborg,2023-08-04 09:04:15,Travemunde,2023-08-04 16:45:48
Travemunde,2023-08-04 20:06:17,Trelleborg,2023-08-05 05:27:48
Trelleborg,2023-08-05 09:03:24,Travemunde,2023-08-05 16:54:29
Travemunde,2023-08-05 19:59:13,Trelleborg,2023-08-06 04:51:42
Trelleborg,2023-08-06 09:07:17,Travemunde,2023-08-06 16:53:45
Travemunde,2023-08-07 05:41:07,Trelleborg,2023-08-09 05:29:22
Trelleborg,2023-08-09 08:15:03,Travemunde,2023-08-09 16:36:45
Travemunde,2023-08-09 20:07:31,Trelleborg,2023-08-10 05:29:02
Trelleborg,2023-08-10 09:09:48,Travemunde,2023-08-10 16:56:11
